rank,country,region,score,gdp,health_life_expectancy,freedom,perceptions_of_corruption,generosity,dystopia_residual
95,Macedonia,Central and Eastern Europe,5.121,1.0193,0.6473800000000001,0.27668000000000004,0.07047,0.23506999999999997,2.08947
96,Vietnam,Southeastern Asia,5.061,0.74037,0.66157,0.5595399999999999,0.11556,0.25075,1.9418
97,Somaliland Region,Sub-Saharan Africa,5.0569999999999995,0.25558000000000003,0.33108000000000004,0.3913,0.36794,0.51479,2.43801
98,Tunisia,Middle East and Northern Africa,5.045,0.97724,0.59577,0.23553000000000002,0.0817,0.03936,2.68413
99,Greece,Western Europe,5.033,1.24886,0.80029,0.05822000000000001,0.04127,0.0,2.12944
100,Tajikistan,Central and Eastern Europe,4.996,0.48835,0.5311899999999999,0.43408,0.13509000000000002,0.25998000000000004,2.39106
101,Mongolia,Eastern Asia,4.907,0.9885299999999999,0.55469,0.35972,0.03285,0.34539000000000003,1.53586
102,Laos,Southeastern Asia,4.876,0.68042,0.38291,0.52168,0.22423,0.43078999999999995,2.08637
103,Nigeria,Sub-Saharan Africa,4.875,0.75216,0.05108,0.27854,0.0305,0.23219,2.8858599999999996
104,Honduras,Latin America and Caribbean,4.871,0.69429,0.5838300000000001,0.26755,0.06906,0.2044,2.2955099999999997
105,Iran,Middle East and Northern Africa,4.813,1.11758,0.64232,0.22544,0.0557,0.38538,1.99817
106,Zambia,Sub-Saharan Africa,4.795,0.61202,0.23573000000000002,0.42662,0.11479,0.17865999999999999,2.5899099999999997
107,Nepal,Southern Asia,4.793,0.44626000000000005,0.50073,0.37012,0.07007999999999999,0.3816,2.32694
108,Palestinian Territories,Middle East and Northern Africa,4.754,0.67024,0.56844,0.17744000000000001,0.10613,0.11154000000000001,2.40364
109,Albania,Central and Eastern Europe,4.655,0.9553,0.73007,0.31866,0.05301,0.1684,1.9281599999999999
110,Bangladesh,Southern Asia,4.643,0.54177,0.52989,0.39778,0.12583,0.19132000000000002,2.6090400000000002
111,Sierra Leone,Sub-Saharan Africa,4.635,0.36485,0.0,0.30685,0.08196,0.23897,3.01402
112,Iraq,Middle East and Northern Africa,4.575,1.07474,0.51076,0.24856,0.13635999999999998,0.19589,1.81657
113,Namibia,Sub-Saharan Africa,4.574,0.9328700000000001,0.34745,0.48613999999999996,0.10397999999999999,0.07795,1.92198
114,Cameroon,Sub-Saharan Africa,4.513,0.5249699999999999,0.12697999999999998,0.42736,0.06126,0.2268,2.5198
115,Ethiopia,Sub-Saharan Africa,4.508,0.29283000000000003,0.34578000000000003,0.36703,0.1717,0.29522,2.65614
116,South Africa,Sub-Saharan Africa,4.459,1.02416,0.18611,0.42483000000000004,0.08415,0.13656,1.6422700000000001
117,Sri Lanka,Southern Asia,4.415,0.9731799999999999,0.62007,0.50817,0.07964,0.46978000000000003,0.91681
118,India,Southern Asia,4.404,0.74036,0.45091000000000003,0.40285,0.08722,0.25028,2.18032
119,Myanmar,Southeastern Asia,4.395,0.34112,0.3988,0.42691999999999997,0.20243,0.81971,1.50655
120,Egypt,Middle East and Northern Africa,4.362,0.95395,0.5211600000000001,0.18847,0.10393,0.12705999999999998,1.96895
121,Armenia,Central and Eastern Europe,4.36,0.8608600000000001,0.64083,0.14037,0.036160000000000005,0.07793,1.9786400000000002
122,Kenya,Sub-Saharan Africa,4.356,0.52267,0.30146999999999996,0.40576,0.06686,0.41328000000000004,1.88326
123,Ukraine,Central and Eastern Europe,4.324,0.87287,0.58628,0.12859,0.01829,0.20363,1.50066
124,Ghana,Sub-Saharan Africa,4.276,0.63107,0.29681,0.40973000000000004,0.0326,0.21203000000000002,2.2002
125,Congo (Kinshasa),Sub-Saharan Africa,4.272,0.05661,0.188,0.15602,0.06075,0.25458000000000003,2.7492400000000004
126,Georgia,Central and Eastern Europe,4.252,0.8379200000000001,0.64035,0.32461,0.3188,0.06786,1.87031
127,Congo (Brazzaville),Sub-Saharan Africa,4.236000000000001,0.7710899999999999,0.28212,0.37938,0.09752999999999999,0.12077,2.10681
128,Senegal,Sub-Saharan Africa,4.218999999999999,0.44314,0.40457,0.31056,0.11681,0.19103,1.9786099999999998
129,Bulgaria,Central and Eastern Europe,4.217,1.11306,0.67806,0.21219000000000002,0.00615,0.12793,1.15377
130,Mauritania,Sub-Saharan Africa,4.2010000000000005,0.6139100000000001,0.28639000000000003,0.1268,0.17955,0.22685999999999998,1.9263
131,Zimbabwe,Sub-Saharan Africa,4.1930000000000005,0.35041,0.1595,0.25429,0.08582000000000001,0.18503,2.4427
